country,country_code,lat,long,num_fake_news
Afghanistan,AFG,33.9391,67.71,28
Algeria,DZA,28.0000272,2.9999825,25
Andorra,AND,42.5063,1.5218,1
Argentina,ARG,-34.9964963,-64.9672817,82
Armenia,ARM,40.0691,45.0382,6
Australia,AUS,-24.7761086,134.755,94
Austria,AUT,47.5162,14.5501,6
Bahrain,BHR,26.1551249,50.5344606,3
Bangladesh,BGD,24.4769288,90.2934413,17
Belarus,BLR,53.7098,27.9534,7
Belgium,BEL,50.6402809,4.6667145,2
Bhutan,BTN,27.5142,90.4336,6
Bolivia,BOL,16.2902,63.5887,41
Brazil,BRA,-10.3333333,-53.2,210
Burundi,BDI,3.3731,29.9189,8
Cambodia,KHM,12.5433216,104.8144914,4
Cameroon,CMR,4.6125522,13.1535811,2
Canada,CAN,61.0666922,-107.991707,20
Central African Republic,CAF,6.6111,20.9394,4
Chile,CHL,-31.7613365,-71.3187697,4
China,CHN,35.000074,104.999927,457
Colombia,COL,4.099917,-72.9088133,115
Congo,COG,-2.9814344,23.8222636,59
Costa Rica,CRI,10.2735633,-84.0739102,39
Cote d'Ivoire,CIV,7.9897371,-5.5679458,3
Cuba,CUB,21.5218,77.7812,6
Czech Republic,CZE,49.8175,15.473,2
Denmark,DNK,55.670249,10.3333283,1
Dominican Republic,DOM,19.0974031,-70.3028026,1
Ecuador,ECU,-1.3397668,-79.3666965,59
Egypt,EGY,26.2540493,29.2675469,196
El Salvador,SLV,13.8000382,-88.9140683,2
Estonia,EST,58.7523778,25.3319078,2
Ethiopia,ETH,9.145,40.4897,4
Fiji,FJI,-18.1239696,179.0122737,8
France,FRA,46.603354,1.8883335,136
Gabon,GAB,-0.8999695,11.6899699,1
Georgia,GEO,32.3293809,-83.1137366,3
Germany,DEU,51.1638175,10.4478313,229
Ghana,GHA,8.0300284,-1.0800271,3
Guatemala,GTM,15.5855545,-90.345759,15
Guinea,GIN,10.7226226,-10.7083587,4
Honduras,HND,15.2572432,-86.0755145,1
Hong Kong,HKG,22.2793278,114.1628131,17
Hungary,HUN,47.1625,19.5033,1
India,IND,22.3511148,78.6677428,207
Indonesia,IDN,-2.4833826,117.8902853,138
Iran,IRN,32.6475314,54.5643516,29
Iraq,IRQ,33.0955793,44.1749775,50
Ireland,IRL,52.865196,-7.9794599,16
Israel,ISR,30.8124247,34.8594762,9
Italy,ITA,42.6384261,12.674297,149
Japan,JPN,36.5748441,139.2394179,128
Jordan,JOR,31.1667049,36.941628,24
Kenya,KEN,1.4419683,38.4313975,98
Kuwait,KWT,29.2733964,47.4979476,16
Latvia,LVA,56.8406494,24.7537645,5
Lebanon,LBN,33.8750629,35.843409,21
Libya,LBY,26.8234472,18.1236723,4
Lithuania,LTU,55.3500003,23.7499997,1
Madagascar,MDG,-18.9249604,46.4416422,1
Malawi,MWI,13.2543,34.3015,1
Malaysia,MYS,4.5693754,102.2656823,113
Mali,MLI,17.5707,3.9962,7
Mauritania,MRT,20.2540382,-9.2399263,2
Mexico,MEX,23.6585116,-102.0077097,58
Moldova,MDA,47.4116,28.3699,3
Morocco,MAR,31.1728205,-7.3362482,14
Myanmar,MMR,17.1750495,95.9999652,2
Nauru,NRU,0.5228,166.9315,1
Nepal,NPL,28.3949,84.124,49
New Zealand,NZL,-41.5000831,172.8344077,7
Nicaragua,NIC,12.6090157,-85.2936911,1
Nigeria,NGA,9.6000359,7.9999721,78
North Korea,PRK,40.3736611,127.0870417,3
Norway,NOR,60.5000209,9.0999715,1
Oman,OMN,21.0000287,57.0036901,9
Pakistan,PAK,30.3308401,71.247499,69
Palestine,PSE,31.46242095,34.262716572130714,12
Papua New Guinea,PNG,-5.6816069,144.2489081,1
Paraguay,PRY,23.4425,58.4438,5
Peru,PER,-6.8699697,-75.0458515,22
Philippines,PHL,12.7503486,122.7312101,74
Poland,POL,52.215933,19.134422,2
Portugal,PRT,39.6621648,-8.1353519,4
Russia,RUS,64.6863136,97.7453061,77
Rwanda,RWA,1.9403,29.8739,2
Saudi Arabia,SAU,25.6242618,42.3528328,64
Senegal,SEN,14.4750607,-14.4529612,9
Singapore,SGP,1.357107,103.8194992,51
South Africa,ZAF,-28.8166236,24.991639,57
South Korea,KOR,36.638392,127.6961188,108
South Sudan,SSD,6.877,31.307,3
Spain,ESP,39.3260685,-4.8379791,254
Sri Lanka,LKA,7.5554942,80.7137847,87
Sudan,SDN,14.5844444,29.4917691,9
Sweden,SWE,59.6749712,14.5208584,3
Syria,SYR,34.6401861,39.0494106,20
Taiwan,TWN,23.9739374,120.9820179,84
Tanzania,TZA,-6.5247123,35.7878438,18
Thailand,THA,14.8971921,100.83273,22
Tunisia,TUN,33.8439408,9.400138,35
Turkey,TUR,38.9597594,34.9249653,300
Uganda,UGA,1.3733,32.2903,26
Ukraine,UKR,49.4871968,31.2718321,33
United Arab Emirates,ARE,24.0002488,53.9994829,14
United Kingdom,GBR,54.7023545,-3.2765753,145
United States,USA,39.7837304,-100.445882,487
Venezuela,VEN,8.0018709,-66.1109318,17
Yemen,YEM,16.3471243,47.8915271,3
Zimbabwe,ZWE,-18.4554963,29.7468414,5
