country,country_code,year,pw_capita,pw_total,lat,long
Albania,ALB,2019.0,0.5432141620000001,1565,41.000028,19.9999619
Algeria,DZA,2019.0,0.134113767,5774,28.0000272,2.9999825
Angola,AGO,2019.0,0.027022781000000003,860,-11.8775768,17.5691241
Antigua and Barbuda,ATG,2019.0,0.020618557,2,17.2234721,-61.9554608
Argentina,ARG,2019.0,0.09238293,4137,-34.9964963,-64.9672817
Australia,AUS,2019.0,0.00126969,32,-24.7761086,134.755
Bahamas,BHS,2019.0,0.051413882,20,24.7736546,-78.0000547
Bahrain,BHR,2019.0,0.0,0,26.1551249,50.5344606
Bangladesh,BGD,2019.0,0.151122996,24640,24.4769288,90.2934413
Barbados,BRB,2019.0,0.156794425,45,13.1500331,-59.5250305
Belgium,BEL,2019.0,0.0029465290000000002,34,50.6402809,4.6667145
Belize,BLZ,2019.0,0.958974359,374,16.8259793,-88.7600927
Benin,BEN,2019.0,0.138886535,1639,9.5293472,2.2584408
Bosnia and Herzegovina,BIH,2019.0,0.001817631,6,44.3053476,17.5961467
Brazil,BRA,2019.0,0.17909973899999998,37799,-10.3333333,-53.2
Brunei,BRN,2019.0,0.309468822,134,4.4137155,114.5653908
Bulgaria,BGR,2019.0,0.001,7,42.6073975,25.4856617
Burkina Faso,BFA,2019.0,0.0,0,12.0753083,-1.6880314
Cambodia,KHM,2019.0,0.067507733,1113,12.5433216,104.8144914
Cameroon,CMR,2019.0,0.41238985899999997,10671,4.6125522,13.1535811
Canada,CAN,2019.0,0.006361765,238,61.0666922,-107.991707
Cape Verde,CPV,2019.0,0.0,0,16.0000552,-24.0083947
Chile,CHL,2019.0,0.016990291,322,-31.7613365,-71.3187697
China,CHN,2019.0,0.049314957,70707,35.000074,104.999927
Colombia,COL,2019.0,0.00856195,431,4.099917,-72.9088133
Comoros,COM,2019.0,0.0,0,-12.2045176,44.2832964
Congo,COG,2019.0,0.125627207,676,-2.9814344,23.8222636
Costa Rica,CRI,2019.0,0.089144216,450,10.2735633,-84.0739102
Cote d'Ivoire,CIV,2019.0,0.186024808,4784,7.9897371,-5.5679458
Croatia,HRV,2019.0,0.054237288,224,45.5643442,17.0118954
Cyprus,CYP,2019.0,0.002502085,3,34.9823018,33.1451285
Democratic Republic of Congo,COD,2019.0,0.0048392109999999995,420,-15.4139213,28.289698
Denmark,DNK,2019.0,0.0015592520000000001,9,55.670249,10.3333283
Djibouti,DJI,2019.0,0.0041067759999999995,4,11.8145966,42.8453061
